context,question,answer,start,end
"A man , whose face is obstructed by a lampshade , is sitting next to a bar with drinks , and a mannequin stands nearby .",What is obstructed?,face,4,4
"A man , whose face is obstructed by a lampshade , is sitting next to a bar with drinks , and a mannequin stands nearby .",How is something obstructed?,by a lampshade,7,9
"A man , whose face is obstructed by a lampshade , is sitting next to a bar with drinks , and a mannequin stands nearby .",What is something obstructed by?,a lampshade,8,9
"A man , whose face is obstructed by a lampshade , is sitting next to a bar with drinks , and a mannequin stands nearby .",Who is sitting somewhere?,A man,0,1
"A man , whose face is obstructed by a lampshade , is sitting next to a bar with drinks , and a mannequin stands nearby .",Where is someone sitting?,next to a bar with drinks,13,18
"A man , whose face is obstructed by a lampshade , is sitting next to a bar with drinks , and a mannequin stands nearby .",What stands somewhere?,a mannequin,21,22
"A man , whose face is obstructed by a lampshade , is sitting next to a bar with drinks , and a mannequin stands nearby .",Where does something stand?,nearby,24,24
A man in a red coat stands in front of a lighthouse surrounded by a stone wall .,Who stands somewhere?,A man,0,1
A man in a red coat stands in front of a lighthouse surrounded by a stone wall .,Where does someone stand?,in front of a lighthouse,7,11
A man in a red coat stands in front of a lighthouse surrounded by a stone wall .,What is surrounded?,a lighthouse,10,11
A man in a red coat stands in front of a lighthouse surrounded by a stone wall .,How is something surrounded?,by a stone wall,13,16
A man in a red coat stands in front of a lighthouse surrounded by a stone wall .,What is something surrounded by?,a stone wall,14,16
A person is cooking what look likes sauce .,Who is cooking something?,A person,0,1
A person is cooking what look likes sauce .,What is someone cooking?,what look likes sauce,4,7
A person is cooking what look likes sauce .,Who likes something?,A person,0,1
A person is cooking what look likes sauce .,What does something like?,sauce,7,7
Man in orange shirt thinking while drinking a margarita .,Who is drinking something?,Man,0,0
Man in orange shirt thinking while drinking a margarita .,What is someone drinking?,a margarita,7,8
Two best friends embracing their friendship .,Who is embracing something?,Two best friends,0,2
Two best friends embracing their friendship .,What is someone embracing?,their friendship,4,5
A young and old Hindu ringing bells at a religious ceremony .,Who is ringing something?,A young and old Hindu,0,4
A young and old Hindu ringing bells at a religious ceremony .,What is someone ringing?,bells,6,6
A young and old Hindu ringing bells at a religious ceremony .,Where is something being rung?,at a religious ceremony,7,10
A student uses old planer to work wood in a shop .,Who uses something?,A student,0,1
A student uses old planer to work wood in a shop .,What does someone use?,old planer,3,4
A student uses old planer to work wood in a shop .,Why does someone use something?,to work wood,5,7
A student uses old planer to work wood in a shop .,Where does someone use something?,in a shop,8,10
A student uses old planer to work wood in a shop .,Who works something?,A student,0,1
A student uses old planer to work wood in a shop .,What works something?,old planer,3,4
A student uses old planer to work wood in a shop .,What does someone work?,wood,7,7
A student uses old planer to work wood in a shop .,Where does someone work something?,in a shop,8,10
A man in overalls helps to raise a wooden stair banister with a pulley system .,Who helps to do something?,A man,0,1
A man in overalls helps to raise a wooden stair banister with a pulley system .,What helps to do something?,A man in overalls,0,3
A man in overalls helps to raise a wooden stair banister with a pulley system .,What does someone help?,to raise a wooden stair banister with a pulley system,5,14
A man in overalls helps to raise a wooden stair banister with a pulley system .,What does someone help to do?,raise a wooden stair banister with a pulley system,6,14
A man in overalls helps to raise a wooden stair banister with a pulley system .,Who raises something?,A man,0,1
A man in overalls helps to raise a wooden stair banister with a pulley system .,What does someone raise?,a wooden stair banister,7,10
A man in overalls helps to raise a wooden stair banister with a pulley system .,How is something raised?,with a pulley system,11,14
A man in overalls helps to raise a wooden stair banister with a pulley system .,What does someone raise something with?,a pulley system,12,14
A woman in jeans and a sweater is packing a rubber tote .,Who is packing something?,A woman,0,1
A woman in jeans and a sweater is packing a rubber tote .,What is someone packing?,a rubber tote,9,11
A woman with a red and orange apron makes paper - mache orbs while her friend leans into the frame .,What makes something?,A woman with a red and orange apron,0,7
A woman with a red and orange apron makes paper - mache orbs while her friend leans into the frame .,What does something make?,paper - mache orbs,9,12
A woman with a red and orange apron makes paper - mache orbs while her friend leans into the frame .,When does something make something?,while her friend leans into the frame,13,19
A woman with a red and orange apron makes paper - mache orbs while her friend leans into the frame .,Who leans into something?,her friend,14,15
A woman with a red and orange apron makes paper - mache orbs while her friend leans into the frame .,Where does someone lean?,into the frame,17,19
A woman with a red and orange apron makes paper - mache orbs while her friend leans into the frame .,What does someone lean into?,the frame,18,19
An African American girl who had just received a doll from a family who adopted her from the states .,Who received something?,An African American girl,0,3
An African American girl who had just received a doll from a family who adopted her from the states .,What did someone receive?,a doll,8,9
An African American girl who had just received a doll from a family who adopted her from the states .,Who did someone receive something from?,a family who adopted her from the states,11,18
An African American girl who had just received a doll from a family who adopted her from the states .,Who adopted someone?,An African American girl,0,3
An African American girl who had just received a doll from a family who adopted her from the states .,What did someone adopt?,a doll,8,9
An African American girl who had just received a doll from a family who adopted her from the states .,Who did someone adopt?,her,15,15
An African American girl who had just received a doll from a family who adopted her from the states .,Where did someone adopt someone?,from the states,16,18
An African American girl who had just received a doll from a family who adopted her from the states .,Where did someone adopt someone from?,the states,17,18
